Date,MSFT,AAPL
2023-10-18,326.34173583984375,174.5605926513672
2023-10-19,327.5379333496094,174.18338012695312
2023-10-20,322.9410095214844,171.62213134765625
2023-10-23,325.56072998046875,171.74127197265625
2023-10-24,326.7569580078125,172.17807006835938
2023-10-25,336.78118896484375,169.8551025390625
2023-10-26,324.1470947265625,165.67572021484375
2023-10-27,326.045166015625,166.9960479736328
2023-10-30,333.4595642089844,169.0509490966797
2023-10-31,334.25042724609375,169.52749633789062
2023-11-01,342.11956787109375,172.70420837402344
2023-11-02,344.3439025878906,176.2780303955078
2023-11-03,348.77276611328125,175.36471557617188
2023-11-06,352.4601745605469,177.92596435546875
2023-11-07,356.4145202636719,180.49710083007812
2023-11-08,359.0540771484375,181.55931091308594
2023-11-09,356.5726623535156,181.08279418945312
2023-11-10,365.4501647949219,185.2875518798828
2023-11-13,362.4942626953125,183.6970977783203
2023-11-14,366.0433044433594,186.3213653564453
2023-11-15,366.19189453125,186.887939453125
2023-11-16,372.6307678222656,188.5778045654297
2023-11-17,366.3702087402344,188.55792236328125
2023-11-20,373.8888244628906,190.30740356445312
2023-11-21,369.5599365234375,189.5022430419922
2023-11-22,374.29498291015625,190.1682586669922
2023-11-24,373.8788757324219,188.8362274169922
2023-11-27,375.04779052734375,188.6573028564453
2023-11-28,379.0993347167969,189.263671875
2023-11-29,375.2855224609375,188.23983764648438
2023-11-30,375.344970703125,188.8163604736328
2023-12-01,370.98638916015625,190.0986785888672
2023-12-04,365.6668701171875,188.29945373535156
2023-12-05,369.01507568359375,192.26565551757812
2023-12-06,365.3300476074219,191.17221069335938
2023-12-07,367.4598693847656,193.11058044433594
2023-12-08,370.708984375,194.5419921875
2023-12-11,367.8065490722656,192.027099609375
2023-12-12,370.8575744628906,193.5479736328125
2023-12-13,370.8476867675781,196.77857971191406
2023-12-14,362.48712158203125,196.9276580810547
2023-12-15,367.2419738769531,196.39089965820312
2023-12-18,369.14385986328125,194.72091674804688
2023-12-19,369.7481384277344,195.7646484375
2023-12-20,367.1329650878906,193.667236328125
2023-12-21,370.0254821777344,193.51812744140625
2023-12-22,371.0556640625,192.44459533691406
2023-12-26,371.1349792480469,191.8978729248047
2023-12-27,370.5505065917969,191.9972686767578
2023-12-28,371.74908447265625,192.42471313476562
2023-12-29,372.50201416015625,191.38096618652344
2024-01-02,367.3805847167969,184.53208923339844
2024-01-03,367.1131591796875,183.150390625
2024-01-04,364.4781799316406,180.8243408203125
2024-01-05,364.2899475097656,180.09869384765625
2024-01-08,371.1646728515625,184.4525604248047
2024-01-09,372.2543029785156,184.0350799560547
2024-01-10,379.16864013671875,185.07879638671875
2024-01-11,381.01116943359375,184.48236083984375
2024-01-12,384.8150634765625,184.8104248046875
2024-01-16,386.59808349609375,182.53407287597656
2024-01-17,385.8056335449219,181.58973693847656
2024-01-18,390.1642150878906,187.50425720214844
2024-01-19,394.91900634765625,190.41676330566406
2024-01-22,392.7794189453125,192.7328643798828
2024-01-23,395.1468811035156,194.01513671875
2024-01-24,398.7724304199219,193.33921813964844
2024-01-25,401.0606994628906,193.01116943359375
2024-01-26,400.12957763671875,191.2716064453125
2024-01-29,405.8650817871094,190.58575439453125
2024-01-30,404.7456970214844,186.91775512695312
2024-01-31,393.8393249511719,183.2994842529297
2024-02-01,399.98101806640625,185.74481201171875
2024-02-02,407.3509521484375,184.7408447265625
2024-02-05,401.8333740234375,186.55990600585938
2024-02-06,401.67486572265625,188.17025756835938
2024-02-07,410.1543273925781,188.2795867919922
2024-02-08,410.21380615234375,187.19610595703125
2024-02-09,416.5931701660156,187.9624786376953
2024-02-12,411.35296630859375,186.27044677734375
2024-02-13,402.4971008300781,184.17037963867188
2024-02-14,406.3873596191406,183.28456115722656
2024-02-15,403.4795837402344,182.99594116210938
2024-02-16,400.9985046386719,181.4532012939453
2024-02-20,399.7381286621094,180.70672607421875
2024-02-21,399.1327209472656,181.46316528320312
2024-02-22,408.531005859375,183.50350952148438
2024-02-23,407.2309265136719,181.6622314453125
2024-02-26,404.4521484375,180.30862426757812
2024-02-27,404.39263916015625,181.77171325683594
2024-02-28,404.63079833984375,180.56739807128906
2024-02-29,410.5059509277344,179.90054321289062
2024-03-01,412.3518371582031,178.815673828125
2024-03-04,411.7762451171875,174.27708435058594
2024-03-05,399.59918212890625,169.3205108642578
2024-03-06,399.04345703125,168.32518005371094
2024-03-07,406.0400390625,168.2057647705078
2024-03-08,403.14215087890625,169.92764282226562
2024-03-11,401.4549865722656,171.93814086914062
2024-03-12,412.13348388671875,172.41586303710938
2024-03-13,411.95489501953125,170.3257598876953
2024-03-14,421.9981994628906,172.18695068359375
2024-03-15,413.264892578125,171.80874633789062
2024-03-18,414.1580505371094,172.90357971191406
2024-03-19,418.21710205078125,175.25250244140625
2024-03-20,422.00811767578125,177.83030700683594
2024-03-21,426.1167297363281,170.5646209716797
2024-03-22,425.4915466308594,171.4703369140625
2024-03-25,419.6560363769531,170.0470733642578
2024-03-26,418.4552307128906,168.9124298095703
2024-03-27,418.2369079589844,172.49549865722656
2024-03-28,417.53228759765625,170.67410278320312
2024-04-01,421.3531188964844,169.23092651367188
2024-04-02,418.2468566894531,168.0465087890625
2024-04-03,417.26434326171875,168.85269165039062
2024-04-04,414.7138366699219,168.02662658691406
2024-04-05,422.2958984375,168.78302001953125
2024-04-08,421.3729553222656,167.65834045410156
2024-04-09,423.0501708984375,168.8726043701172
2024-04-10,420.0530700683594,166.99148559570312
2024-04-11,424.6876525878906,174.2173614501953
2024-04-12,418.703369140625,175.72027587890625
2024-04-15,410.5059509277344,171.87841796875
2024-04-16,411.43878173828125,168.583984375
2024-04-17,408.7195739746094,167.21046447753906
2024-04-18,401.2069396972656,166.2549591064453
2024-04-19,396.095947265625,164.2245635986328
2024-04-22,397.9219970703125,165.06060791015625
2024-04-23,404.48193359375,166.11563110351562
2024-04-24,405.9606628417969,168.2256622314453
2024-04-25,396.0165710449219,169.09158325195312
2024-04-26,403.2414245605469,168.50433349609375
2024-04-29,399.20220947265625,172.6846160888672
2024-04-30,386.380126953125,169.5294952392578
2024-05-01,391.9476013183594,168.50433349609375
2024-05-02,394.8256530761719,172.21682739257812
2024-05-03,403.5788269042969,182.51817321777344
2024-05-06,410.4067077636719,180.8560333251953
2024-05-07,406.23846435546875,181.54278564453125
2024-05-08,407.429443359375,181.88119506835938
2024-05-09,409.19598388671875,183.70260620117188
2024-05-10,411.59759521484375,182.4368438720703
2024-05-13,410.5853271484375,185.65603637695312
2024-05-14,413.40380859375,186.8021697998047
2024-05-15,420.6317138671875,189.08450317382812
2024-05-16,418.5538330078125,189.2041015625
2024-05-17,417.7783203125,189.2340087890625
2024-05-20,422.878662109375,190.4000701904297
2024-05-21,426.5572814941406,191.70570373535156
2024-05-22,428.0286865234375,190.26055908203125
2024-05-23,424.529052734375,186.2540283203125
2024-05-24,427.6707763671875,189.3436279296875
2024-05-28,427.829833984375,189.35360717773438
2024-05-29,426.6865234375,189.652587890625
2024-05-30,412.2704162597656,190.6492462158203
2024-05-31,412.7277526855469,191.6060333251953
2024-06-03,411.1270446777344,193.38006591796875
2024-06-04,413.6623229980469,193.69900512695312
2024-06-05,421.5563659667969,195.21389770507812
2024-06-06,422.0633850097656,193.8285369873047
2024-06-07,421.3973083496094,196.23048400878906
2024-06-10,425.3940124511719,192.4730987548828
2024-06-11,430.1761779785156,206.4561004638672
2024-06-12,438.5076904296875,212.35630798339844
2024-06-13,439.0246887207031,213.52236938476562
2024-06-14,440.00897216796875,211.77822875976562
2024-06-17,445.775390625,215.94422912597656
2024-06-18,443.75714111328125,213.5721893310547
2024-06-20,443.120849609375,208.97763061523438
2024-06-21,447.17724609375,206.7949981689453
2024-06-24,445.0794982910156,207.4427947998047
2024-06-25,448.3404541015625,208.36968994140625
2024-06-26,449.54345703125,212.5356903076172
2024-06-27,450.2294616699219,213.3828582763672
